,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
732,filter44$\longleftrightarrow$filter89,7854,M0607_1.02,0.00640584,M0632_1.02,0.00514261,282.0,96.0,144.0,163.0,3.226726436756891e-05,0.000866469671236,KDM2B,DMRTA2,KDM2B$\longleftrightarrow$DMRTA2,CxxC,DM,DM$\longleftrightarrow$CxxC
739,filter44$\longleftrightarrow$filter111,7876,M0607_1.02,0.00640584,M1963_1.02,0.0136401,120.0,234.0,177.0,113.0,0.0104907424739705,0.0495007810640421,KDM2B,ZFY,KDM2B$\longleftrightarrow$ZFY,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
744,filter44$\longleftrightarrow$filter131,7896,M0607_1.02,0.00640584,M1668_1.02,0.00410157,18.0,90.0,205.0,192.0,3.0495291187685707e-06,0.0001667020066078,KDM2B,PRKRIR,KDM2B$\longleftrightarrow$PRKRIR,CxxC,THAP finger,CxxC$\longleftrightarrow$THAP finger
745,filter44$\longleftrightarrow$filter148,7913,M0607_1.02,0.00640584,M0608_1.02,0.00321805,216.0,162.0,191.0,188.0,1.2134325500408773e-05,0.0004463009404937,KDM2B,MLL,KDM2B$\longleftrightarrow$MLL,CxxC,CxxC,CxxC$\longleftrightarrow$CxxC
746,filter44$\longleftrightarrow$filter149,7914,M0607_1.02,0.00640584,M0931_1.02,0.0294458,6.0,150.0,107.0,121.0,0.0100111005823551,0.0479309141933839,KDM2B,LHX5,KDM2B$\longleftrightarrow$LHX5,CxxC,Homeodomain,CxxC$\longleftrightarrow$Homeodomain
749,filter44$\longleftrightarrow$filter165,7930,M0607_1.02,0.00640584,M0404_1.02,0.0444817,504.0,168.0,156.0,141.0,0.0055905291596815,0.0318648952218112,KDM2B,ZNF202,KDM2B$\longleftrightarrow$ZNF202,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
751,filter44$\longleftrightarrow$filter168,7933,M0607_1.02,0.00640584,M6420_1.02,0.00349744,498.0,48.0,165.0,113.0,0.0065757136590993,0.0355070693049548,KDM2B,PLAG1,KDM2B$\longleftrightarrow$PLAG1,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
761,filter45$\longleftrightarrow$filter53,7972,M1049_1.02,0.00639964,M6547_1.02,0.0102349,366.0,168.0,168.0,145.0,0.0044241826733045,0.0270293741705152,SIX4,ZFX,SIX4$\longleftrightarrow$ZFX,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
762,filter45$\longleftrightarrow$filter54,7973,M1049_1.02,0.00639964,M6336_1.02,0.00340884,366.0,348.0,149.0,86.0,0.000184191167834,0.0030928572637655,SIX4,MAZ,SIX4$\longleftrightarrow$MAZ,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
764,filter45$\longleftrightarrow$filter89,8008,M1049_1.02,0.00639964,M0632_1.02,0.00514261,462.0,114.0,144.0,226.0,0.0103775228991469,0.0491179711339737,SIX4,DMRTA2,SIX4$\longleftrightarrow$DMRTA2,Homeodomain,DM,DM$\longleftrightarrow$Homeodomain
768,filter45$\longleftrightarrow$filter117,8036,M1049_1.02,0.00639964,M4604_1.02,0.00681695,366.0,300.0,179.0,204.0,0.0001043224872012,0.002036047832239,SIX4,ZNF263,SIX4$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
770,filter45$\longleftrightarrow$filter131,8050,M1049_1.02,0.00639964,M1668_1.02,0.00410157,78.0,150.0,189.0,247.0,2.183886519752073e-05,0.000672677615635,SIX4,PRKRIR,SIX4$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
771,filter45$\longleftrightarrow$filter148,8067,M1049_1.02,0.00639964,M0608_1.02,0.00321805,168.0,66.0,177.0,248.0,0.0013112178888289,0.011710329242333,SIX4,MLL,SIX4$\longleftrightarrow$MLL,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
792,filter53$\longleftrightarrow$filter80,9195,M6547_1.02,0.0102349,M1668_1.02,0.0030752,246.0,30.0,335.0,172.0,0.0020000736336362,0.0155465693513199,ZFX,PRKRIR,ZFX$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
797,filter53$\longleftrightarrow$filter118,9233,M6547_1.02,0.0102349,M0891_1.02,0.0151094,288.0,396.0,171.0,185.0,0.000195275335178,0.00322873570228,ZFX,TLX2,ZFX$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
806,filter53$\longleftrightarrow$filter148,9263,M6547_1.02,0.0102349,M0608_1.02,0.00321805,132.0,378.0,376.0,227.0,0.0005368517816377,0.0064312322402338,ZFX,MLL,ZFX$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
807,filter53$\longleftrightarrow$filter149,9264,M6547_1.02,0.0102349,M0931_1.02,0.0294458,120.0,396.0,170.0,158.0,0.0084059570806761,0.0421345316152848,ZFX,LHX5,ZFX$\longleftrightarrow$LHX5,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
811,filter53$\longleftrightarrow$filter180,9295,M6547_1.02,0.0102349,M1589_1.02,0.00640278,180.0,450.0,209.0,174.0,0.0029047345576267,0.0201458376534185,ZFX,SOX30,ZFX$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
816,filter54$\longleftrightarrow$filter64,9324,M6336_1.02,0.00340884,M4427_1.02,0.0113245,396.0,366.0,227.0,67.0,0.0010654990595609,0.0101978356359514,MAZ,CTCF,MAZ$\longleftrightarrow$CTCF,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
820,filter54$\longleftrightarrow$filter80,9340,M6336_1.02,0.00340884,M1668_1.02,0.0030752,42.0,456.0,318.0,124.0,0.0001526208680092,0.0026874779041126,MAZ,PRKRIR,MAZ$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
829,filter54$\longleftrightarrow$filter112,9372,M6336_1.02,0.00340884,M2314_1.02,0.0391061,180.0,192.0,339.0,103.0,0.0045580243008782,0.027617407898561,MAZ,SP2,MAZ$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
